Index,Text,Sentiment
135349,하지만 복숭아뼈에 걸려서  살짝 불편감을 느끼게 되네요.,-1
135349,그래서 깔창을 하나 깔았더니 걸리는 부분이 적네요.,-1
135349,한사이즈 크게 해서 깔창을 까는것도 방법이겠어요.,-1
135349,가격대비 골프화로 연습장용 좋아요.,1
135350,가격대비 좋아요,1
135350,앞코가 좀더 동그러우면 좋을텐데,-1
135350,반치수는 크게신는게낫네요,-1
135352,흰색이라 너무 깔끔하고,1
135352,착화감도 좋고 ,1
135352,바닥도 미끄러지지않게 잘잡아주네요,1
135352,골프연습장용으로 딱입니다 ^^,1
135362,이쁘네요,1
135362,근데  뒷금치..까졌어요 ;;; 새신발이라그런듯,-1
135362,막..부드럽진않네요,-1
135362,생각보다 가볍지도 않아요 ㅎ,-1
135369,신어  보니 생각보다 편하네요,1
135369,가죽이라 딱딱할것 같았는데 괜찮네요,1
135377,몆번 신으니 적응되고 편하긴 하네요,1
135377,신발은 볼이 굉장히 좁아요,-1
135377,끈조절이 되니 편하고,1
135377,모양 자체는 예쁘네요~,1
135377,흰색이라 이쁜듯,1
135377,조일때는 예쁜데,1
135377,신발 벗을때 따로 풀어줘야 하는것은 귀찮네요,-1
135379,가죽제품 이가격에 이 퀄리티면 아주 훌륭해요,1
135379,키높이 기능도 좋은데,1
135379,뒤꿈치 부분 높이가 조금 높은듯해서 아쉽네요,-1
135386,디자인이  심플해서  이프게  신으렵니다.,1
135386,신발 소재가 좀 딱딱한거같아 이점은 많이 아쉽네요...,-1
135388,다이얼슈즈 처음인데 정말 편하네요,1
135388,가죽도 부드럽고,1
135388,착화감이 너무 좋아요.,1
135391,신발볼이 약간 적게  나와서 ,-1
135391, 한사이즈 크게주문해야 할것같아요.,-1
135392,정싸이즈로 잘맞고 ,1
135392,발도 편하네요,1
135392,잠궜다 풀렀다 하는게 좀 귀찮은데,-1
135392,조금 여유있게 잠궈놓고 신었다벗었다하니 괜찮네요,1
135392,모처럼 싸이즈 맞는 신발 찾았어요,1
135395,발바닥 쿠션이 너무 좋아서 편하고 좋네요,1
135395,발도 펑퍼짐한데 슬입해 보여 좋네요.,1
135400,좋은 제품 저렴하게 구입하게 되어 기쁩니다. ,1
135400,디자인도 색상도 예쁘네요. ,1
135400,색상도 예쁘네요. ,1
135402,너무착한가격에 잘신을수있을듯해요,1
135402,연습장다니면서 신으려고요,1
135403,신발이 너무 편하다고 합니다.,1
135403,다이얼이라 좋아요. ,1
135404,발볼이 좀 작게 나왔는지,-1
135404,오래 걸었더니 조금 불편 하네요,-1
135405,디자인 소재 너무 맘에듭니다,1
135405,소재 너무 맘에듭니다,1
135405,발볼이 없는 편인데도 좀 오래 걸었더니  불편하네요,-1
135405,볼이  좀 작은거 같아요,-1
135407,다이얼로 끈을 조이고 푸는 편리성에 ,1
135407,좋은가격까지 마음에 듭니다,1
135408,"등산화나 골프화에 다이얼이 많아, 조금 어떨까~~  했는데. 넘 맘에 들고 ",1
135408,편해서,1
135418,원하던 색깔의 신발을,1
135418,좋은 가격에  사서  잘 신고 있어요 ,1
135418,다이얼이라 더 좋고요 ,1
135418,이쁘고 좋아요,1
135418,아주 살짝 덜 가볍지만,0
135418,발이 무척 편해요,1
135420,발은편하고 좋아요,1
135420,디자인이 고급스럽지는 않네요.,0
135420,가성비는 괴하나요,1
135420,발볼이 있으신 분은 사이즈 업해서 신으심 좋겠어요.,-1
135427,가격대비 좋아요,1
135427,신고벗기편해요,1
135427,오래걸으면 복숭아뼈가 닿아서 좀 아프네요,-1
135427,긴양말신고 착화해야할것같아요,-1
135429,방송에서 보기와 달리 신발이 편하지 않아요. ,-1
135429,무겁고,-1
135429,"바닥도 좀 미끄럽고, ",-1
135429,안깔창도 방송보기와 달리 딱딱하고,-1
135429,소가죽인데 통풍도 안좋아서 ,-1
135429,오래 신기 불편해요.,-1
135436,조금 작게 나온듯합니다,-1
135436,무겁고,-1
135436,딱딱하여 좀 불편합니다,-1
135439,다이얼이 익숙하지 않아서 처음에는 조금 불편했는데,-1
135439,신고 걸어 다니기에 발은 편하고 좋아요,1
135441,발도 편하고,1
135441,지금 신기에 넘 딱이네요..,1
135442,다이얼이라 끈을맺다풀렷다하지않아서 좋고,1
135442,신어보니  아주편해서좋아요~^^,1
135444,발뒤꿈치 다 까지고 ,-1
135444,신고 걸을수록 발이 너무 아파요.,-1
135444,발 뒤꿈치쪽이 너무  /  이렇게 생겨서,-1
135444,ㅣ  되어있는 일반 신발보다 발의 피로도가 높습니다.,-1
135444,단하루도 신을수 없는 신발이에요.,-1
135445,가볍고,1
135445,발이편해부담없이신고다닐수있어너무좋네요,1
135445,저렴하게(쿠폰)구매해서일거양득이네요,1
135447,색상이  마음에  듭니다,1
135447,발도 편하고 ,1
135447,바닥면이 잘 넘어지지않게 딴  잡아 주네요,1
135453,잘 맞네요.,1
135453,깔끔하니 괜찮아요.,1
135455,다이얼이니 정말 편하고,1
135455,신고벗기가 편하니 ,1
135455,데일리로 신기 딱 좋아요,1
135455,굽높이가 조금있으니 오히려 편하네요,1
135456,발도 편하고,1
135456,신고벗기에 다이얼이 편해요.,1
135461,발도 작아보이고,1
135461,세련되보입니다,1
135461,쿠션도  좋고,1
135461,미끌림방지도 괜찬은듯합니다,1
135464,저렴한 가격에 비해 제품이 너무 좋네요.,1
135464,전 굽있는 것을 좋아하진않으나 굽도 좀 있고.,-1
135475,다이얼~약해서 영 아니었어요.,-1
135475,딱딱해서 신으면 발도 불편해,-1
135476,국산이라 품질이 믿음이가고요,1
135476,신발은 편하고 ,1
135476,밑창도 튼튼해보여요,1
135476,다이얼이라 더욱 좋아서 아주 잘 구매한거 같아요,1
135478,편하게 잘 신고 있어요,1
135478,다이얼 등산화 처럼 신고 벗으니 너무 편해요,1
135478,무겁다는 상품평있었는데 못느끼겠어요,1
135479,신발은 이쁘게 빠졌 습니다. ,1
135479,두시간 정도 신고 걸었더니 마지막  발가락이 엄청 아픕니다,-1
135479,발바닥역시 오랜시간 걷기엔 무리인듯..,-1
135485,넘 편하고,1
135485,이쁜데.,1
135485,가격도 착해서.,1
135492,발이편하고,1
135492,이퍼서,1
135493,사이즈도 잘맞고 ,1
135493,연습용 골프화로 신으신다는데 ,1
135493,편하시다고 좋아 하시네요.,1
135498,운동화 끈이 없이 다이얼조절이여서 우선 맘에 들었습니다.,1
135498,잘 맞고,1
135498,편하다고 ,1
135502,조금 커도,-1
135502,조절 해서 신으면 편합니다,1
135502,신고 벗기 편하고,1
135503,가볍구,1
135503,다이얼이라 끈조절이 편해서 좋네요,1
135504,발도 편하고,1
135504,바닥이 미끄럽지 않아서,1
135504,골프연습장에서 잘 신고 있습니다,1
135505,여름에 흰색사서 열심히 신고 ,1
135505,겨울에 신으려고  블랙으로 또 구매합니다 ,1
135505,가격대비 매우 만족합니다~^^,1
135507,정장에도 너무 예쁘게 매칭이 되네요.,1
135507,깔끔해보여 좋네요,1
135507,흰색이라 반신반의했는데,0
135511,발뒤쿠션이  넘  편하고,1
135511,피로감이  덜하다고,1
135513,조금무겁긴하나 ,-1
135513,미끄럼방지도 잘되고 ,1
135513,이쁩니다.,1
135513,발이 작아보이네요,1
135514,깔끔하고 ,1
135514,편해서,1
135516,정 사이즈 추천 드리구요.,1
135516,신어보니 편하고 좋습니다.,1
135516,운동화처럼 캐주얼한 복장과 잘 어울리네요.,1
135518,신발은 편하고,1
135518,다이얼식 끈 조절이라 좋아요.,1
135520,가격대비 너무 좋아요~,1
135520,신랑이랑 함께 구매하여 지금 매일 잘 신고 다니고 있어요~,1
135520,좋은 제품 가격착하게 판매하여 주셔서 너무너무 감사합니다 ~,1
139004,점점 늘어나서  커져요  ,-1
139004,위에서  잡아주는힘이  적어서  불편해지네요,-1
139012,"신발이 옆면, 윗면 털이 있어서 보드랍지만",1
139012,바닥이 딱딱해서 마음에 안 들더라고요.,-1
139012,딱딱해서 걸을 때 발이 좀 편안하지가 않았어요. ,-1
139012,신발 밑바닥을 쿠션감이 있게 만들어졌으면 더할 나위가 없었을텐데 그게 아쉬운 신발이네요.,-1
139012,또한 밑바닥 깔창엔 기모나 털이 아니라서 또 감점~ ,-1
139012,저는 털깔창을 덧대었습니다. 그래도 여전히 딱딱하네요 ㅜㅜ ,-1
139012,"평소에 제가 240 신고 구두는 235신는데 , 240사이즈 주문하니까 털깔창 넣었어도 괜찮았어요.",1
139017,겨울여행  할때 신으면 되겠다 싶었는데,1
139017,편해서,1
139017,시장갈 때도 휴일에도 즐겨신는답니다.,1
139017,조금 무겁단 느낌은 들지만 ,-1
139017,퍼가 들어서 그렇겠죠?,1
139030,이뻐여♡,1
139030,맨발로신어보니따뜻하고,1
139030,부드러워여,1
139032,가볍고,1
139032,따뜻한 신발입니다,1
139032,미끄러운 곳도 안전하게 다닐 수 있습니다,1
139032, 오래 신고 있으면 통풍이 안되어 냄새가 나더군요,-1
139038,발도편하고,1
139038,가격대비 품질도  좋아요,1
139038,무엇보다 디자인도 예뻐요,1
139041,안에도 보들보글하고,1
139041,따뜻하다고 하세요~,1
139041,발도 편안하다고 하셔서 ,1
139041,겨울에 이 신발만 신고 다니실것 같네요,1
139045,가격에 비해 넘편하네요,1
139045,발도 따뜻하고 잘신고 있어요,1
139051,발바닥이 정말 딱딱합니다,-1
139051,실내에서 착장할땐 잘 몰라서 신고나갔는데 발이 아프네요. ,-1
139051,품질이 딱 그가격만큼입니다.,-1
139051,발볼도 좁습니다,-1
139054,"마감이 허술해서 실밥이 여기저기 보이고,",-1
139054,오래신으면  양말이 조금씩  내려가고  안에서  왔다갔다 하기는 하는데,-1
139054,편안하네요,1
139054,걸으면서 양말을 올려줘야하는 번거로움은 있어요..,-1
139058,가볍고,1
139058,깔끔해요,1
139058,새신발 냄새가 많이나서,-1
139058,편하게 신으실듯해요^^,1
139064,가격대비 너무 좋다고 ,1
139064,너무 따숩고,1
139064,신고벗기 편해요,1
139065,따뜻하고,1
139065,편안하시다구해서,1
139069,블랙보다 네이비 색상이 더 예쁘네요,1
139069,발이 따뜻하니 좋아요,1
139069,원래는 235m인데 겨울에 뚜꺼운 양말을 잘 신어서 240m로 샀더니 편하고 좋네요,1
139069,미끄럼방지는 잘 안되는거 같아요,-1
139074,가볍고,1
139074,따뜻합니다,1
139074,이쁜데 무거운 부추는 많아 가벼운걸로 구매해요.,1
139074,뒷굼치로 쏠리는 경향이 좀 있지만,-1
139074,가격대비 만족합니다,1
139074,방수 안되서 눈비올땐 못신겠지만요.,-1
139078,신발내부에 털이있고 ,0
139078,겨울엔 두꺼운양말 신을것을 감안하면 한치수 큰것 더 편안하고 좋을듯요,-1
139078,저두 첨에 그냥맞다싶어 신다가 ,1
139078,신다보니 타이트한것같아 드는 생각이네요,-1
139085,편하게 잘신고있어요,1
139085,원래 225신는데  230인데  맨발은 헐렁인데 양말신으면 잘목부분이 딱 껴서  지퍼 오픈하고 신고 다녀요,-1
139085,앞부분 바닥이 조금 딱딱해서 오래신기는 힘드네요,-1
139089,사이즈는 딱 맞고요,1
139089,모양도 맘에 들어요 ,1
139089, 가격도 모든게 맘에들고  잘샀어요,1
139099,푹신하고,1
139099,따뜻하고,1
139099,가볍다고 하시네요,1
139100,가격도 착하고 ,1
139100,사이즈도 딱맞고 ,1
139100,네이비색도 좋아요. ,1
139100,발이 따뜻해서 계속 신을것같아요,1
139102,따뜻하고 좋네요 ,1
139102,모델이 신었을땐 쉽게 벗고 신었는데 내 발목이 굵어 서인지 쉽지않네요,-1
139112,245를 받아서 신어보니 엄지발가락이 약간 접히는게  나중에 신다보면 발이 아플수도 있을것 같아서 250으로 교환했어요.,-1
139112,한치수 큰 250 은 막상 신어보니 조금 큰 느낌인데 ,1
139112,안에서 발이 많이 겉돌거나 신발때문에 넘어질 정도로 많이 헐렁한 건 아니어서 ,0
139112,250으로 교환했어요.,-1
139112,꽉 끼는 245 보단  조금 헐렁한 250 신기로 했어요.,0
139114,발이 편해서 완전 좋습니다,1
139114,고급스럽고 그런건 잘~~~~,0
139114,근데 발편해셔 완전 감사,1
139121,한사이즈 크게 주문했는데 딱좋네요 ,-1
139121,발볼쪽이 약간 좁아요,-1
139142,디자인 깔끔하고 ,1
139142,바닥 쿠션도 편하구 ,1
139142,발도 따뜻한게 너무 좋네요~,1
139146,따뜻할거 같아요. ,1
139146,패딩슈즈인데 부해 보이지는 않는데 ,1
139146,약품같은 냄새가 너무심해서 뜯자마자 베란다 밖으로 내놨어요.,-1
139147,사이즈 정사이즈로 ,1
139147,신발이가볍고 ,1
139147,발도 편안해서 좋다고합니다 ,1
139147,발도 따뜻하게 미끄럽지않아서 잘신고  다닐것  같다고 하십니다,1
139155,신발 안에서 고무냄새가 납니다.,-1
139155,편하고 다 좋습니다.,1
139169,너무 따뜻하고,1
139169,편하다며 좋아하시네요~^^,1
139172,따뜻하고 ,1
139172,"편하다며, ",1
139172,"저렴한 가격에 칭찬도 듣고, 기분이 좋네요~^^",1
139174,색상도 예쁘고,1
139174,디자인은 예쁜데 ,1
139174,신발 발볼이 쫌 작아요 원래 발이 넓지않고 볼이 작은편인데도 그러네요,-1
139174,볼이 쫌 넉넉하면 편하게 신을것 같아요,-1
139204,가죽이 너무 뻣뻣해서,-1
139204,발이 아픔 완전 꽝이에요,-1
139204,신고 다닐수록 발이 아파 오래 신고 다닐수가 없어요 한번신고 버렸습니다,-1
139211,넘 저렴하게 잘구입했네요,1
139211,고급스럽고 ,1
139211,따뜻하고 조아요,1
139212,넘불편하고,-1
139212,모양도예쁘지가않아요실망,-1
139224,디자인 정말 좋아요 ,1
139224,제가 좋아하는 스타일 입니다,1
139224,발도 편하고,1
139224,가격까지 저렴해서 ,1
139225,처음에는 신발 발목이 딱딱하여  상처가 나는데요 ,-1
139225,신다보니 부드러워져서 잘신고 있습니다,1
139225,발도 따뜻하고 ,1
139225,발도 딱맞게 콱잡아주어 발이 피곤을 털 느끼게 되네요,1
139225,가격도 좋고 다 좋네요,1
139226,신축성제로. ,-1
139226,발목아픈데 ,-1
139227,통가죽이여서 크런지 발목부분이 많이 딱딱해요,-1
139227,가죽은 괜찮은거 같고 ,1
139227,앞쪽 발바닥이  앏아 불편해요.,-1
139227,신발바닥이  앞쪽이 너무  둥글어서 ,-1
139227,좀 불하지만,-1
139227,가격이 저렴하고,1
139228,따듯할지 모르지만,1
139228,발목이 너무 아픕니다. 두번신고 멍들었어요. ,-1
139228,가죽 옆에 있는 것은 밴드 아녜요. 안늘어나 불편합니다. ,-1
139228,편한 신발은 아닙니다.,-1
139231,255시켰는데 안감때문에 작네요,-1
139231,신고벗기가힘들어요,-1
139231,여유잇게 시켜야할듯요,-1
139232,발목쪽 옆부분 재질이 다른부분은 스판일 거라고 생각했는데... 제 착각이었네요. ,-1
139232,발목부분이 소재가 좀 뻣뻣합니다. ,-1
139232,그래서 너무 불편해요.,-1
139232,모임갈때 몇번신기에 좋겠네요. ,0
139232,데일리로는 못신어요. ,-1
139232,포인트 써서 넘 저렴하게 구매해서 반품안하고 그냥 신을래요.,1
139233,발목이 너무 딱딱해서 접히질 않네요,-1
139233,버스  내릴 때 발이 안 접혀서 순간 너무 놀랬어요,-1
139242,아주 따뜻하고 ,1
139242,쿠션감도 살짝 있어서  아주 편안하더군요 ,1
139242,신고벗는데도 불편함이 없습니다 ,1
139242,털이 풍성해서 ,1
139242,240을 신지만 245를 주문한 것이 아주 좋은 선택이었네요,-1
139242,두꺼운 양말을 신고도 크지않고 ,-1
139242,적당히 편안합니다 ,1
139246,원하던 색상이 아니라 좀 아쉽네요.,-1
139246,디자인도 살짝 올드하구 ㅠㅠ,-1
139246,저렴한 가격에 구매해서 걍 신어요,1
139257,부츠 신은 모습이 훨씬 예뻐서 좋아요,1
139257,편하고 ,1
139257,가격대비 강추,1
139279,신업ᆢ니 너무편하고,1
139279,예쁘기 까지하니 득템  제대로 했네요 ,1
139288,사이즈가 예쁘게 잘 맞아요~^^ ,1
139288,발도 편하구요,1
139288,바지도 스커트에도 잘 어울립니다,1
139293,제가 발볼 넓은데.. 끼지않고,1
139293,발도 작아보이고 ,1
139293,탄탄하게 잡아주고 ,1
139293,뒷굽도 편안하고  완전 강추합니다~ ,1
139294,디자인도 멋스럽고 ,1
139294,착용감이 좋아,1
139294,올 겨울 잘 신을 것 같아 기분이 좋습니다^♡^,1
139297,넘 이쁘구 ,1
139297,편하네요,1
139297,딸도 이쁘다고  좋아합니다,1
139298,양쪽 지퍼 마음에 듭니다.^^,1
139298,양말신고 신었는데 발은 편안합니다.,1
139298,부들부들한 스웨이드는 아니예요.,-1
139337,가볍구 ,1
139337,넘이쁩니다,1
139337,퀼도 좋아요 ,1
139337,바닥도 푹신하네요 ,1
139337,다만 한겨울은 발바닥 시려울듯 ,-1
139337,바닥은 기모가 아니네요 !!,-1
139337,편하구,1
139337,이쁜 부츠입니다,1
139338,이뻐요  ,1
139338,굽높이도 적당하구요,1
139338,아주편해요~~,1
139338,한가지아쉬운점 입구가 조그만 넓었으면해요~,-1
139343,아...너무 이쁩니다...,1
139343,마감처리도 흠 잡을데가 없습니다...,1
139343,그냥도 싼데 첫구매쿠폰으로 만원할인받아서 더싸게샀어요ㅜㅜ진짜 혜자신발... ,1
139356,디자인 색상 이뿌고 마음에 들어요~,1
139356,색상 이뿌고 마음에 들어요~,1
139356,근데 편한 신발은 아닌듯 합니다,-1
139356,신고 백화점 갔더니 2시간도 안되서 발바닥이  많이 아프더라구요ㅠ,-1
139359,소재도좋고 ,1
139359,편안하고 ,1
139359,핏도 넘예쁨니다,1
139359,넘예쁘고 ,1
139359,발도편안하고,1
139359,난 버건디하고 그린 고민하다 버건디로 주문했는데  넘좋아서,1
139382,좀 더 낮은 굽이었음..ㅋㅋ ,-1
139382,디쟌도 이쁘고 좋아여,1
139382,다만 발시리다는게..ㅜㅜ 발도 시리고 ,-1
139382,바닥쿠션이 있는데  계속 신다보니 그리 푹신한것도 모르겠어여.. ,-1
139382,발목시리고 ,-1
139382,옷 코디에 맞춘다고 어울리게 신고는 다니나..  ,1
139382,발 시려여~~~~,-1
139404,쿠션감이전혀 . 없어요.,-1
139404,쿠션감 기대했다가 발바닥 아파서 신발 던져버리고 싶었음.,-1
139414,정사이즈입니다. ,1
139414,무난한 디자인에 ,0
139414,굽도 적당해서 자주 신을것 같아요.,1
139414,편합니다.,1
139417,모처럼 편한 신발을 찾았네요.,1
139417,따뜻하지는 않지만 ,-1
139417,편해서 만족합니다.,1
139418,부츠 디자인 심플하면서 ,1
139418,넘 편하면서,1
139418,따뜻하네요.,1
139418,전체 외피 소가죽에 잘 산것 같아요 .,1
139427,생각보다 펄이 작ㅈ고,-1
139427,신발깔창도 좀 얇아요..,-1
139427,그래도 편하긴해요,1
139428,발볼이좀좁은듯한데 구매확정 신청했네요 ,-1
139428,가죽질이좀안좋아요 ,-1
139428,사진에서보듯이  터진것같다고해야하나 품질이 너무 안좋네요,-1
139450,정사이즈 보다 조금 넉넉하네요,0
139450,착화감이 아주 좋아요.,1
139451,아주 편합니다,1
139451,심플한 디자인도 맘에 들어요,1
139452,깔끔한 디자인과 ,1
139452,편안하고 ,1
139452,따뜻한  착용감이에요.,1
139452,데일리하게 편하게 신고 다니기 좋을듯 합니다~~~,1
139456,소가죽의 고급스러운 느낌이예요.,1
139456,이 가격에 샀다는게 행운인듯요.,1
139459,바닥이  쿠션이 너무없는게 아쉽네요~,-1
139459,생각보다 안따뜻합니다ᆢ,-1
139460,가죽 재질은   별로인듯한데,-1
139460, 발은 편해서 그냥 신기로했어요,1
139462,지퍼가 아무리해도 안올라가서보니 글로건이 떨어져 굳어서 칼로 겨우떼어 그냥신어요,-1
139462,신어보니 착화감이 나쁘지 않아 그냥신어요,0
139463,한치수 크게 주문하기를 잘 한것 같아요. 잘 맞아요,-1
139463,편하게 잘 신고 다니고 있습니다.,1
139475,인솔털이 너~~무 부드러워 양말이 밀립니다.,-1
139475,구두굽이 고무네요..무심결에 택을 때버려서 걍 신긴 하지만..생각보다 좀 별롭니다. ,-1
139475,발볼이 좀 타이트하네요..,-1
139475,디자인은 심플하고 이쁜데..,1
139475,구두굽이 고무라니요..,-1
139475,바닥이 미끄럽습니다. 눈길에 못신을듯..,-1
139482,카키빛 도는 그레이컬러 맘에 들어요.,1
139482,속기모로 따뜻한데 ,1
139482,바닥은 생각보다 딱딱해서,-1
139482,한겨울용은 아닌듯 해요.,-1
139490,"신발 바닥과 굽은 편하고 좋은데, ",1
139490,앞볼 부분이 좀 좁게 나와서,-1
139490,저처럼 앞발 폭이 넓은 사람들에게는 조금 아플수 있어요.,-1
139494,윗부분어 본드칠이 묻어있네요 ,-1
139494,그냥 싼맛에 신어요,1
139496,바닥이 폭신한 느낌도 없고 ,-1
139496,발이 편한지 모른겠네요?,-1
139501,가성비 좋아요~~~  ,1
139501,굽도 튼튼하고 ,1
139501,근데발볼이 넓은 분은 아프겠어요 ㅜ 저두살짝 쪼이네요,-1
139503,발바닥이 푹신하고 너무 편하고 좋네요,1
139503, 사이즈도 정사이즈입니다,1
139504,발이 편하고 ,1
139504,따뜻하고 ,1
139504,신고 다니가 편하네요.,1
139504,가성비대비 예쁘고  ,1
139504,추운날씨에  신고 다니기에 좋을것 같아요,1
139514,앵글부츠는 부드럽고 ,1
139514,편하고 좋네요~,1
139525,편하고 좋아요,1
139525,굽높이도 적당하고 ,1
139525, 디자인도 무난해서 맘에듭니다,1
139535,오른발 싸이즈가 좀 작아요..,-1
139535,스판이라믄서 늘어나지도 않구염.. ,-1
139535,신고 나갔다가 생고생 했엉욤,-1
139543,겉모습은다행히예쁜데..,1
139543,발이아퍼요.특히발가락이요,-1
139544,컬러도 예쁘고 ,1
139544,신어보니 착용감도 좋네요,1
139544,따뜻한 겨울 보낼 수 있겠어요^^,1
139544,생각보다 가볍진 않아서 아쉽네요,-1
139553,발편하고 좋아요.,1
139553, 간혹 본드 묻어있는거 있으니 잘봐야해요,-1
139558,볼이 좀 작게나온거 같데요 ,-1
